Columns in CSV: Index(['image_id', 'generated_text'], dtype='object')
Number of valid images with descriptions loaded: 25331
Using device: cuda
Epoch 1, Step 1, Loss: 0.18151381611824036
Epoch 1, Step 2, Loss: 0.13062098622322083
Epoch 1, Step 3, Loss: 0.7282203435897827
Epoch 1, Step 4, Loss: 0.09119863063097
Epoch 1, Step 5, Loss: 0.002544419839978218
Epoch 1, Step 6, Loss: 0.007683801930397749
Epoch 1, Step 7, Loss: 0.45401060581207275
Epoch 1, Step 8, Loss: 0.022970885038375854
Epoch 1, Step 9, Loss: 0.5937654972076416
Epoch 1, Step 10, Loss: 0.0900576263666153
Epoch 1, Step 11, Loss: 0.5834271907806396
Epoch 1, Step 12, Loss: 0.09843398630619049
Epoch 1, Step 13, Loss: 0.0015033441595733166
Epoch 1, Step 14, Loss: 0.002552018966525793
Epoch 1, Step 15, Loss: 0.40242958068847656
Epoch 1, Step 16, Loss: 0.0676644816994667
Epoch 1, Step 17, Loss: 0.6735210418701172
Epoch 1, Step 18, Loss: 0.07413007318973541
Epoch 1, Step 19, Loss: 0.07546079158782959
Epoch 1, Step 20, Loss: 0.021102791652083397
Epoch 1, Step 21, Loss: 0.006071228068321943
Epoch 1, Step 22, Loss: 0.31551745533943176
Epoch 1, Step 23, Loss: 0.1610943228006363
Epoch 1, Step 24, Loss: 0.002549645956605673
Epoch 1, Step 25, Loss: 0.025585027411580086
Epoch 1, Step 26, Loss: 0.14489053189754486
Epoch 1, Step 27, Loss: 0.0032248436473309994
Epoch 1, Step 28, Loss: 0.06742176413536072
Epoch 1, Step 29, Loss: 0.3002522587776184
Epoch 1, Step 30, Loss: 0.21938057243824005
Epoch 1, Step 31, Loss: 0.017266778275370598
Epoch 1, Step 32, Loss: 0.26256030797958374
Epoch 1, Step 33, Loss: 0.5463741421699524
Epoch 1, Step 34, Loss: 0.09939979761838913
Epoch 1, Step 35, Loss: 0.10708218812942505
Epoch 1, Step 36, Loss: 0.11636548489332199
Epoch 1, Step 37, Loss: 0.13573205471038818
Epoch 1, Step 38, Loss: 0.775486409664154
Epoch 1, Step 39, Loss: 0.07130671292543411
Epoch 1, Step 40, Loss: 0.20094163715839386
Epoch 1, Step 41, Loss: 0.2644502818584442
Epoch 1, Step 42, Loss: 0.07775163650512695
Epoch 1, Step 43, Loss: 0.3221660852432251
Epoch 1, Step 44, Loss: 0.013915907591581345
Epoch 1, Step 45, Loss: 0.011030610650777817
Epoch 1, Step 46, Loss: 0.07692086696624756
Epoch 1, Step 47, Loss: 0.16313230991363525
Epoch 1, Step 48, Loss: 0.19395598769187927
Epoch 1, Step 49, Loss: 0.22981968522071838
Epoch 1, Step 50, Loss: 0.7980737686157227
Epoch 1, Step 51, Loss: 0.030908403918147087
Epoch 1, Step 52, Loss: 0.09547334909439087
Epoch 1, Step 53, Loss: 0.2732639014720917
Epoch 1, Step 54, Loss: 0.20362553000450134
Epoch 1, Step 55, Loss: 0.4145345091819763
Epoch 1, Step 56, Loss: 0.10320430994033813
Epoch 1, Step 57, Loss: 0.003547061700373888
Epoch 1, Step 58, Loss: 0.02600592002272606
Epoch 1, Step 59, Loss: 0.22973614931106567
Epoch 1, Step 60, Loss: 0.7587911486625671
Epoch 1, Step 61, Loss: 0.0030535440891981125
Epoch 1, Step 62, Loss: 0.3513784408569336
Epoch 1, Step 63, Loss: 0.07609405368566513
Epoch 1, Step 64, Loss: 0.2919360101222992
Epoch 1, Step 65, Loss: 0.26914453506469727
Epoch 1, Step 66, Loss: 0.015496581792831421
Epoch 1, Step 67, Loss: 0.0019049906404688954
Epoch 1, Step 68, Loss: 0.009655142202973366
Epoch 1, Step 69, Loss: 0.0745072066783905
Epoch 1, Step 70, Loss: 0.15694662928581238
Epoch 1, Step 71, Loss: 0.003958519548177719
Epoch 1, Step 72, Loss: 0.14847055077552795
Epoch 1, Step 73, Loss: 0.14718042314052582
Epoch 1, Step 74, Loss: 0.008967351168394089
Epoch 1, Step 75, Loss: 0.01006903126835823
Epoch 1, Step 76, Loss: 0.037920691072940826
Epoch 1, Step 77, Loss: 0.008124373853206635
Epoch 1, Step 78, Loss: 0.042634978890419006
Epoch 1, Step 79, Loss: 0.860870361328125
Epoch 1, Step 80, Loss: 0.014710456132888794
Epoch 1, Step 81, Loss: 0.03438334912061691
Epoch 1, Step 82, Loss: 0.0576307475566864
Epoch 1, Step 83, Loss: 0.2656465470790863
Epoch 1, Step 84, Loss: 0.003492026124149561
Epoch 1, Step 85, Loss: 0.0022805798798799515
Epoch 1, Step 86, Loss: 0.030432675033807755
Epoch 1, Step 87, Loss: 0.1652984470129013
Epoch 1, Step 88, Loss: 0.014166136272251606
Epoch 1, Step 89, Loss: 0.02114487625658512
Epoch 1, Step 90, Loss: 0.08366505801677704
Epoch 1, Step 91, Loss: 0.33883339166641235
Epoch 1, Step 92, Loss: 0.00242784945294261
Epoch 1, Step 93, Loss: 0.23337647318840027
Epoch 1, Step 94, Loss: 0.00939972884953022
Epoch 1, Step 95, Loss: 0.005246013402938843
Epoch 1, Step 96, Loss: 0.15414990484714508
Epoch 1, Step 97, Loss: 0.6659873127937317
Epoch 1, Step 98, Loss: 0.38307106494903564
Epoch 1, Step 99, Loss: 0.002590928226709366
Epoch 1, Step 100, Loss: 0.13625070452690125
Epoch 1, Step 101, Loss: 0.010453428141772747
Epoch 1, Step 102, Loss: 0.030893519520759583
Epoch 1, Step 103, Loss: 0.23569077253341675
Epoch 1, Step 104, Loss: 0.007562130689620972
Epoch 1, Step 105, Loss: 0.22679220139980316
Epoch 1, Step 106, Loss: 0.07195927202701569
Epoch 1, Step 107, Loss: 0.5610517263412476
Epoch 1, Step 108, Loss: 0.009974515065550804
Epoch 1, Step 109, Loss: 0.028817972168326378
Epoch 1, Step 110, Loss: 0.6745452284812927
Epoch 1, Step 111, Loss: 0.03168708086013794
Epoch 1, Step 112, Loss: 0.08499704301357269
Epoch 1, Step 113, Loss: 0.01156574860215187
Epoch 1, Step 114, Loss: 0.10976788401603699
Epoch 1, Step 115, Loss: 0.062176402658224106
Epoch 1, Step 116, Loss: 0.005769750103354454
Epoch 1, Step 117, Loss: 0.049597837030887604
Epoch 1, Step 118, Loss: 0.30316877365112305
Epoch 1, Step 119, Loss: 0.014024613425135612
Epoch 1, Step 120, Loss: 0.16227808594703674
Epoch 1, Step 121, Loss: 0.013867925852537155
Epoch 1, Step 122, Loss: 0.43050527572631836
Epoch 1, Step 123, Loss: 0.0017656979616731405
Epoch 1, Step 124, Loss: 0.010667135939002037
Epoch 1, Step 125, Loss: 0.2808853089809418
Epoch 1, Step 126, Loss: 0.5153053998947144
Epoch 1, Step 127, Loss: 0.022421833127737045
Epoch 1, Step 128, Loss: 0.0016455135773867369
Epoch 1, Step 129, Loss: 0.034611400216817856
Epoch 1, Step 130, Loss: 0.0121860196813941
Epoch 1, Step 131, Loss: 0.08689773827791214
Epoch 1, Step 132, Loss: 0.024846818298101425
Epoch 1, Step 133, Loss: 0.013834085315465927
Epoch 1, Step 134, Loss: 0.01844267174601555
Epoch 1, Step 135, Loss: 0.02327141724526882
Epoch 1, Step 136, Loss: 0.007831842638552189
Epoch 1, Step 137, Loss: 0.1477532684803009
Epoch 1, Step 138, Loss: 0.008190817199647427
Epoch 1, Step 139, Loss: 0.03752850741147995
Epoch 1, Step 140, Loss: 0.2034032642841339
Epoch 1, Step 141, Loss: 0.3276592791080475
Epoch 1, Step 142, Loss: 0.008223794400691986
Epoch 1, Step 143, Loss: 0.0342073030769825
Epoch 1, Step 144, Loss: 0.23785614967346191
Epoch 1, Step 145, Loss: 0.016262955963611603
Epoch 1, Step 146, Loss: 0.027514776214957237
Epoch 1, Step 147, Loss: 0.13088254630565643
Epoch 1, Step 148, Loss: 0.6185473203659058
Epoch 1, Step 149, Loss: 0.47240936756134033
Epoch 1, Step 150, Loss: 0.015976062044501305
Epoch 1, Step 151, Loss: 0.02053522877395153
Epoch 1, Step 152, Loss: 0.08534786105155945
Epoch 1, Step 153, Loss: 0.02822115644812584
Epoch 1, Step 154, Loss: 0.8187885284423828
Epoch 1, Step 155, Loss: 0.04964889585971832
Epoch 1, Step 156, Loss: 0.11949265748262405
Epoch 1, Step 157, Loss: 0.030862784013152122
Epoch 1, Step 158, Loss: 0.09026100486516953
Epoch 1, Step 159, Loss: 0.00986808817833662
Epoch 1, Step 160, Loss: 0.02790238708257675
Epoch 1, Step 161, Loss: 0.06806652247905731
Epoch 1, Step 162, Loss: 0.008669087663292885
Epoch 1, Step 163, Loss: 0.10293225198984146
Epoch 1, Step 164, Loss: 0.037145040929317474
Epoch 1, Step 165, Loss: 0.0023321371991187334
Epoch 1, Step 166, Loss: 0.45324093103408813
Epoch 1, Step 167, Loss: 0.0031831557862460613
Epoch 1, Step 168, Loss: 0.24738430976867676
Epoch 1, Step 169, Loss: 0.3699643611907959
Epoch 1, Step 170, Loss: 0.2610792815685272
Epoch 1, Step 171, Loss: 0.12931010127067566
Epoch 1, Step 172, Loss: 0.09668178111314774
Epoch 1, Step 173, Loss: 0.004762223921716213
Epoch 1, Step 174, Loss: 0.3824581801891327
Epoch 1, Step 175, Loss: 0.10732488334178925
Epoch 1, Step 176, Loss: 0.07857245206832886
Epoch 1, Step 177, Loss: 0.0023836728651076555
Epoch 1, Step 178, Loss: 0.02341514080762863
Epoch 1, Step 179, Loss: 0.2369886338710785
Epoch 1, Step 180, Loss: 0.0029341038316488266
Epoch 1, Step 181, Loss: 0.00218500685878098
Epoch 1, Step 182, Loss: 0.02536579594016075
Epoch 1, Step 183, Loss: 0.13442733883857727
Epoch 1, Step 184, Loss: 0.0033474713563919067
Epoch 1, Step 185, Loss: 0.03418770432472229
Epoch 1, Step 186, Loss: 0.28953856229782104
Epoch 1, Step 187, Loss: 0.03460075706243515
Epoch 1, Step 188, Loss: 0.7236554622650146
Epoch 1, Step 189, Loss: 0.4175592064857483
Epoch 1, Step 190, Loss: 0.1640545129776001
Epoch 1, Step 191, Loss: 0.38011980056762695
Epoch 1, Step 192, Loss: 0.009048514068126678
Epoch 1, Step 193, Loss: 0.00410984642803669
Epoch 1, Step 194, Loss: 0.13748469948768616
Epoch 1, Step 195, Loss: 0.10116750746965408
Epoch 1, Step 196, Loss: 0.02442016452550888
Epoch 1, Step 197, Loss: 0.6800005435943604
Epoch 1, Step 198, Loss: 0.010702081955969334
Epoch 1, Step 199, Loss: 0.012425744906067848
Epoch 1, Step 200, Loss: 0.003516566939651966
Epoch 1, Step 201, Loss: 0.009930502623319626
Epoch 1, Step 202, Loss: 0.07909879833459854
Epoch 1, Step 203, Loss: 0.16229727864265442
Epoch 1, Step 204, Loss: 0.33741435408592224
Epoch 1, Step 205, Loss: 0.0899491161108017
Epoch 1, Step 206, Loss: 0.14568617939949036
Epoch 1, Step 207, Loss: 0.3672085106372833
Epoch 1, Step 208, Loss: 0.01641705259680748
Epoch 1, Step 209, Loss: 0.10942824184894562
Epoch 1, Step 210, Loss: 0.0024125247728079557
Epoch 1, Step 211, Loss: 0.18470758199691772
Epoch 1, Step 212, Loss: 0.5977770686149597
Epoch 1, Step 213, Loss: 0.2538703382015228
Epoch 1, Step 214, Loss: 0.018870774656534195
Epoch 1, Step 215, Loss: 0.1977939009666443
Epoch 1, Step 216, Loss: 0.31094926595687866
Epoch 1, Step 217, Loss: 0.0027500996366143227
Epoch 1, Step 218, Loss: 0.08905809372663498
Epoch 1, Step 219, Loss: 0.09645392000675201
Epoch 1, Step 220, Loss: 0.056961990892887115
Epoch 1, Step 221, Loss: 0.1432320475578308
Epoch 1, Step 222, Loss: 0.06990689039230347
Epoch 1, Step 223, Loss: 0.025414735078811646
Epoch 1, Step 224, Loss: 0.002021023305132985
Epoch 1, Step 225, Loss: 0.03672097623348236
Epoch 1, Step 226, Loss: 0.6191511750221252
Epoch 1, Step 227, Loss: 0.02133893221616745
Epoch 1, Step 228, Loss: 0.599785327911377
Epoch 1, Step 229, Loss: 0.007994245737791061
Epoch 1, Step 230, Loss: 0.4135177433490753
Epoch 1, Step 231, Loss: 0.2744496762752533
Epoch 1, Step 232, Loss: 0.014713894575834274
Epoch 1, Step 233, Loss: 0.02241658791899681
Epoch 1, Step 234, Loss: 0.002197171561419964
Epoch 1, Step 235, Loss: 0.0022245366126298904
Epoch 1, Step 236, Loss: 0.18446706235408783
Epoch 1, Step 237, Loss: 0.8843239545822144
Epoch 1, Step 238, Loss: 0.019821565598249435
Epoch 1, Step 239, Loss: 0.03707171231508255
Epoch 1, Step 240, Loss: 0.695677638053894
Epoch 1, Step 241, Loss: 0.003966647200286388
Epoch 1, Step 242, Loss: 0.025667555630207062
Epoch 1, Step 243, Loss: 0.0021760063245892525
Epoch 1, Step 244, Loss: 0.07524242997169495
Epoch 1, Step 245, Loss: 0.21354147791862488
Epoch 1, Step 246, Loss: 0.0046259574592113495
Epoch 1, Step 247, Loss: 0.04090391844511032
Epoch 1, Step 248, Loss: 0.00717807374894619
Epoch 1, Step 249, Loss: 0.010102717205882072
Epoch 1, Step 250, Loss: 0.0035536468494683504
Epoch 1, Step 251, Loss: 0.19852322340011597
Epoch 1, Step 252, Loss: 0.12985259294509888
Epoch 1, Step 253, Loss: 0.15857097506523132
Epoch 1, Step 254, Loss: 0.03843584656715393
Epoch 1, Step 255, Loss: 0.04829997941851616
Epoch 1, Step 256, Loss: 0.03535984456539154
Epoch 1, Step 257, Loss: 0.04467436671257019
Epoch 1, Step 258, Loss: 0.00403504678979516
Epoch 1, Step 259, Loss: 0.23917779326438904
Epoch 1, Step 260, Loss: 0.42052802443504333
Epoch 1, Step 261, Loss: 0.003354055108502507
Epoch 1, Step 262, Loss: 0.027586888521909714
Epoch 1, Step 263, Loss: 0.09419108182191849
Epoch 1, Step 264, Loss: 0.5591304302215576
Epoch 1, Step 265, Loss: 0.018247900530695915
Epoch 1, Step 266, Loss: 0.029915593564510345
Epoch 1, Step 267, Loss: 0.020709753036499023
Epoch 1, Step 268, Loss: 0.1465000957250595
Epoch 1, Step 269, Loss: 0.4220183789730072
Epoch 1, Step 270, Loss: 0.47895556688308716
Epoch 1, Step 271, Loss: 0.06868164241313934
Epoch 1, Step 272, Loss: 0.039982691407203674
Epoch 1, Step 273, Loss: 0.20819485187530518
Epoch 1, Step 274, Loss: 0.013577212579548359
Epoch 1, Step 275, Loss: 0.003760323394089937
Epoch 1, Step 276, Loss: 0.2014118731021881
Epoch 1, Step 277, Loss: 0.005117911379784346
Epoch 1, Step 278, Loss: 0.006957972422242165
Epoch 1, Step 279, Loss: 0.40728265047073364
Epoch 1, Step 280, Loss: 0.2382497936487198
Epoch 1, Step 281, Loss: 0.015931641682982445
Epoch 1, Step 282, Loss: 0.7387534379959106
Epoch 1, Step 283, Loss: 0.0044816723093390465
Epoch 1, Step 284, Loss: 0.004455026239156723
Epoch 1, Step 285, Loss: 0.10260949283838272
Epoch 1, Step 286, Loss: 0.003188664559274912
Epoch 1, Step 287, Loss: 0.00977547001093626
Epoch 1, Step 288, Loss: 0.04759439826011658
Epoch 1, Step 289, Loss: 0.1319902539253235
Epoch 1, Step 290, Loss: 0.026004699990153313
Epoch 1, Step 291, Loss: 0.02296348661184311
Epoch 1, Step 292, Loss: 0.12757687270641327
Epoch 1, Step 293, Loss: 0.07256628572940826
Epoch 1, Step 294, Loss: 0.008425806649029255
Epoch 1, Step 295, Loss: 0.17207084596157074
Epoch 1, Step 296, Loss: 0.8881511092185974
Epoch 1, Step 297, Loss: 0.3157969117164612
Epoch 1, Step 298, Loss: 0.2405005246400833
Epoch 1, Step 299, Loss: 0.05775853618979454
Epoch 1, Step 300, Loss: 0.15429018437862396
Epoch 1, Step 301, Loss: 0.4257224202156067
Epoch 1, Step 302, Loss: 0.0029359874315559864
Epoch 1, Step 303, Loss: 0.14343124628067017
Epoch 1, Step 304, Loss: 0.3831373155117035
Epoch 1, Step 305, Loss: 0.7241275310516357
Epoch 1, Step 306, Loss: 0.008080014027655125
Epoch 1, Step 307, Loss: 0.8672100305557251
Epoch 1, Step 308, Loss: 0.7244522571563721
Epoch 1, Step 309, Loss: 0.343828946352005
Epoch 1, Step 310, Loss: 0.06276474893093109
Epoch 1, Step 311, Loss: 0.00396335031837225
Epoch 1, Step 312, Loss: 0.006299263797700405
Epoch 1, Step 313, Loss: 0.015146937221288681
Epoch 1, Step 314, Loss: 0.0029746326617896557
Epoch 1, Step 315, Loss: 0.0021283882670104504
Epoch 1, Step 316, Loss: 0.15026062726974487
