Training images: /dtu/blackhole/07/203495/ADLCV-project/data/ISIC_2019_Training_Input
Training csv: /dtu/blackhole/07/203495/ADLCV-project/data/ISIC_2019_Training_Input/generated_descriptions_isic_full.csv
Columns in CSV: Index(['image_id', 'generated_text'], dtype='object')
Number of valid images with descriptions loaded: 25331
Using device: cuda
Epoch 1, Step 1, Loss: 0.3633471131324768
Epoch 1, Step 2, Loss: 0.26679399609565735
Epoch 1, Step 3, Loss: 0.09297589957714081
Epoch 1, Step 4, Loss: 0.0028874780982732773
Epoch 1, Step 5, Loss: 0.028234951198101044
Epoch 1, Step 6, Loss: 0.3297140300273895
Epoch 1, Step 7, Loss: 0.04772738739848137
Epoch 1, Step 8, Loss: 0.3470606207847595
Epoch 1, Step 9, Loss: 0.14713475108146667
Epoch 1, Step 10, Loss: 0.027106482535600662
Epoch 1, Step 11, Loss: 0.05237855017185211
Epoch 1, Step 12, Loss: 0.1291186511516571
Epoch 1, Step 13, Loss: 0.31039535999298096
Epoch 1, Step 14, Loss: 0.007553120143711567
Epoch 1, Step 15, Loss: 0.017483815550804138
Epoch 1, Step 16, Loss: 0.07563336193561554
Epoch 1, Step 17, Loss: 0.0037044137716293335
Epoch 1, Step 18, Loss: 0.04250781238079071
Epoch 1, Step 19, Loss: 0.4950527846813202
Epoch 1, Step 20, Loss: 0.0065318504348397255
Epoch 1, Step 21, Loss: 0.41518306732177734
Epoch 1, Step 22, Loss: 0.023378636687994003
Epoch 1, Step 23, Loss: 0.36115121841430664
Epoch 1, Step 24, Loss: 0.09522606432437897
Epoch 1, Step 25, Loss: 0.0049199312925338745
Epoch 1, Step 26, Loss: 0.01860632188618183
Epoch 1, Step 27, Loss: 0.02352525293827057
Epoch 1, Step 28, Loss: 0.15554411709308624
Epoch 1, Step 29, Loss: 0.010665550827980042
Epoch 1, Step 30, Loss: 0.007568442262709141
Epoch 1, Step 31, Loss: 0.0035085338167846203
Epoch 1, Step 32, Loss: 0.07593849301338196
Epoch 1, Step 33, Loss: 0.017279023304581642
Epoch 1, Step 34, Loss: 0.4143695831298828
Epoch 1, Step 35, Loss: 0.007257163058966398
Epoch 1, Step 36, Loss: 0.18743357062339783
Epoch 1, Step 37, Loss: 0.6104863882064819
Epoch 1, Step 38, Loss: 0.5593955516815186
Epoch 1, Step 39, Loss: 0.01500445231795311
Epoch 1, Step 40, Loss: 0.0030165347270667553
Epoch 1, Step 41, Loss: 0.30219659209251404
Epoch 1, Step 42, Loss: 0.047978855669498444
Epoch 1, Step 43, Loss: 0.004141062498092651
Epoch 1, Step 44, Loss: 0.5121492147445679
Epoch 1, Step 45, Loss: 0.32439953088760376
Epoch 1, Step 46, Loss: 0.22524026036262512
Epoch 1, Step 47, Loss: 0.23709805309772491
Epoch 1, Step 48, Loss: 0.04383055865764618
Epoch 1, Step 49, Loss: 0.034751251339912415
Epoch 1, Step 50, Loss: 0.013161064125597477
Epoch 1, Step 51, Loss: 0.06380143761634827
Epoch 1, Step 52, Loss: 0.030939115211367607
Epoch 1, Step 53, Loss: 0.053683362901210785
Epoch 1, Step 54, Loss: 0.004855743143707514
Epoch 1, Step 55, Loss: 0.26685088872909546
Epoch 1, Step 56, Loss: 0.012762335129082203
Epoch 1, Step 57, Loss: 0.36653029918670654
Epoch 1, Step 58, Loss: 0.0026376107707619667
Epoch 1, Step 59, Loss: 0.03762439265847206
Epoch 1, Step 60, Loss: 0.002337743528187275
Epoch 1, Step 61, Loss: 0.003230110742151737
Epoch 1, Step 62, Loss: 0.09368044883012772
Epoch 1, Step 63, Loss: 0.46082210540771484
Epoch 1, Step 64, Loss: 0.003314444562420249
Epoch 1, Step 65, Loss: 0.01437605544924736
Epoch 1, Step 66, Loss: 0.036120884120464325
Epoch 1, Step 67, Loss: 0.005505900830030441
Epoch 1, Step 68, Loss: 0.007302175275981426
Epoch 1, Step 69, Loss: 0.007203975692391396
Epoch 1, Step 70, Loss: 0.11076395958662033
Epoch 1, Step 71, Loss: 0.2719302177429199
Epoch 1, Step 72, Loss: 0.08738037943840027
Epoch 1, Step 73, Loss: 0.07001429796218872
Epoch 1, Step 74, Loss: 0.003076030872762203
Epoch 1, Step 75, Loss: 0.008971843868494034
Epoch 1, Step 76, Loss: 0.004976802971214056
Epoch 1, Step 77, Loss: 0.01192588172852993
Epoch 1, Step 78, Loss: 0.19463415443897247
Epoch 1, Step 79, Loss: 0.0038196593523025513
Epoch 1, Step 80, Loss: 0.27814021706581116
Epoch 1, Step 81, Loss: 0.12699580192565918
Epoch 1, Step 82, Loss: 0.6635071039199829
Epoch 1, Step 83, Loss: 0.1638476550579071
Epoch 1, Step 84, Loss: 0.159952312707901
Epoch 1, Step 85, Loss: 0.5940425395965576
Epoch 1, Step 86, Loss: 0.14018593728542328
Epoch 1, Step 87, Loss: 0.016437336802482605
Epoch 1, Step 88, Loss: 0.0023382501676678658
Epoch 1, Step 89, Loss: 0.05967274308204651
Epoch 1, Step 90, Loss: 0.0030106655322015285
Epoch 1, Step 91, Loss: 0.12087366729974747
Epoch 1, Step 92, Loss: 0.054134972393512726
Epoch 1, Step 93, Loss: 0.42107588052749634
Epoch 1, Step 94, Loss: 0.3325572907924652
Epoch 1, Step 95, Loss: 0.006828466430306435
Epoch 1, Step 96, Loss: 0.02093018777668476
Epoch 1, Step 97, Loss: 0.46222418546676636
Epoch 1, Step 98, Loss: 0.010276850312948227
Epoch 1, Step 99, Loss: 0.019745362922549248
Epoch 1, Step 100, Loss: 0.08208301663398743
Epoch 1, Step 101, Loss: 0.09618543088436127
Epoch 1, Step 102, Loss: 0.3317441940307617
Epoch 1, Step 103, Loss: 0.24832898378372192
Epoch 1, Step 104, Loss: 0.2825058698654175
Epoch 1, Step 105, Loss: 0.005467985291033983
Epoch 1, Step 106, Loss: 0.10631063580513
Epoch 1, Step 107, Loss: 0.08373206853866577
Epoch 1, Step 108, Loss: 0.0026059229858219624
Epoch 1, Step 109, Loss: 0.0035163257271051407
Epoch 1, Step 110, Loss: 0.4839979112148285
Epoch 1, Step 111, Loss: 0.2595832347869873
Epoch 1, Step 112, Loss: 0.4372592568397522
Epoch 1, Step 113, Loss: 0.004799487069249153
Epoch 1, Step 114, Loss: 0.007767817005515099
Epoch 1, Step 115, Loss: 0.017374999821186066
Epoch 1, Step 116, Loss: 0.06481872498989105
Epoch 1, Step 117, Loss: 0.018405737355351448
Epoch 1, Step 118, Loss: 0.05215994268655777
Epoch 1, Step 119, Loss: 0.05203454568982124
Epoch 1, Step 120, Loss: 0.03862873464822769
Epoch 1, Step 121, Loss: 0.02459103986620903
Epoch 1, Step 122, Loss: 0.0022033604327589273
Epoch 1, Step 123, Loss: 0.1423376351594925
Epoch 1, Step 124, Loss: 0.0626133531332016
Epoch 1, Step 125, Loss: 0.04187212884426117
Epoch 1, Step 126, Loss: 0.0022297585383057594
Epoch 1, Step 127, Loss: 0.15622010827064514
Epoch 1, Step 128, Loss: 0.021048391237854958
Epoch 1, Step 129, Loss: 0.0841280072927475
Epoch 1, Step 130, Loss: 0.018288876861333847
Epoch 1, Step 131, Loss: 0.025500260293483734
Epoch 1, Step 132, Loss: 0.05032365769147873
Epoch 1, Step 133, Loss: 0.019532183185219765
Epoch 1, Step 134, Loss: 0.02154051885008812
Epoch 1, Step 135, Loss: 0.2085130512714386
Epoch 1, Step 136, Loss: 0.010495779104530811
Epoch 1, Step 137, Loss: 0.006339557934552431
Epoch 1, Step 138, Loss: 0.00607953080907464
Epoch 1, Step 139, Loss: 0.15826305747032166
Epoch 1, Step 140, Loss: 0.46872571110725403
Epoch 1, Step 141, Loss: 0.09359242767095566
Epoch 1, Step 142, Loss: 0.006727248430252075
Epoch 1, Step 143, Loss: 0.052682064473629
Epoch 1, Step 144, Loss: 0.014122450724244118
Epoch 1, Step 145, Loss: 0.10522782802581787
Epoch 1, Step 146, Loss: 0.0019640205428004265
Epoch 1, Step 147, Loss: 0.002847603289410472
Epoch 1, Step 148, Loss: 0.060788728296756744
Epoch 1, Step 149, Loss: 0.011559383943676949
Epoch 1, Step 150, Loss: 0.027241047471761703
Epoch 1, Step 151, Loss: 0.3978319466114044
Epoch 1, Step 152, Loss: 0.6321094632148743
Epoch 1, Step 153, Loss: 0.22811782360076904
Epoch 1, Step 154, Loss: 0.21538543701171875
Epoch 1, Step 155, Loss: 0.6151257753372192
Epoch 1, Step 156, Loss: 0.004792476072907448
Epoch 1, Step 157, Loss: 0.003966998308897018
Epoch 1, Step 158, Loss: 0.22109049558639526
Epoch 1, Step 159, Loss: 0.06448949873447418
Epoch 1, Step 160, Loss: 0.368608295917511
Epoch 1, Step 161, Loss: 0.009190518409013748
Epoch 1, Step 162, Loss: 0.0023248097859323025
Epoch 1, Step 163, Loss: 0.10945819318294525
Epoch 1, Step 164, Loss: 0.044778116047382355
Epoch 1, Step 165, Loss: 0.039640262722969055
Epoch 1, Step 166, Loss: 0.03059440478682518
Epoch 1, Step 167, Loss: 0.1917359083890915
Epoch 1, Step 168, Loss: 0.001747161615639925
Epoch 1, Step 169, Loss: 0.154261514544487
Epoch 1, Step 170, Loss: 0.058656252920627594
Epoch 1, Step 171, Loss: 0.07050170004367828
Epoch 1, Step 172, Loss: 0.2850568890571594
Epoch 1, Step 173, Loss: 0.24859091639518738
Epoch 1, Step 174, Loss: 0.0015543237095698714
Epoch 1, Step 175, Loss: 0.12169380486011505
Epoch 1, Step 176, Loss: 0.0400887206196785
Epoch 1, Step 177, Loss: 0.11796243488788605
Epoch 1, Step 178, Loss: 0.2754940986633301
Epoch 1, Step 179, Loss: 0.15826967358589172
Epoch 1, Step 180, Loss: 0.006298055872321129
Epoch 1, Step 181, Loss: 0.14052224159240723
Epoch 1, Step 182, Loss: 0.7714406847953796
Epoch 1, Step 183, Loss: 0.010071189142763615
Epoch 1, Step 184, Loss: 0.00973152182996273
Epoch 1, Step 185, Loss: 0.014790050685405731
Epoch 1, Step 186, Loss: 0.49364030361175537
Epoch 1, Step 187, Loss: 0.0025463178753852844
Epoch 1, Step 188, Loss: 0.0017353680450469255
Epoch 1, Step 189, Loss: 0.2997187674045563
Epoch 1, Step 190, Loss: 0.5239392518997192
Epoch 1, Step 191, Loss: 0.3574485778808594
Epoch 1, Step 192, Loss: 0.0042716991156339645
Epoch 1, Step 193, Loss: 0.8232073783874512
Epoch 1, Step 194, Loss: 0.23591460287570953
Epoch 1, Step 195, Loss: 0.10613955557346344
Epoch 1, Step 196, Loss: 0.4730098843574524
Epoch 1, Step 197, Loss: 0.32492896914482117
Epoch 1, Step 198, Loss: 0.36316540837287903
Epoch 1, Step 199, Loss: 0.11375147104263306
Epoch 1, Step 200, Loss: 0.0020174626260995865
Epoch 1, Step 201, Loss: 0.7920489311218262
Epoch 1, Step 202, Loss: 0.10434745252132416
Epoch 1, Step 203, Loss: 0.07688049972057343
Epoch 1, Step 204, Loss: 0.03145431727170944
Epoch 1, Step 205, Loss: 0.518734335899353
Epoch 1, Step 206, Loss: 0.004382905084639788
Epoch 1, Step 207, Loss: 0.2416234165430069
Epoch 1, Step 208, Loss: 0.2763742208480835
Epoch 1, Step 209, Loss: 0.33918070793151855
Epoch 1, Step 210, Loss: 0.1913214921951294
Epoch 1, Step 211, Loss: 0.1057341992855072
Epoch 1, Step 212, Loss: 0.04606446623802185
Epoch 1, Step 213, Loss: 0.03986578434705734
Epoch 1, Step 214, Loss: 0.00332130235619843
Epoch 1, Step 215, Loss: 0.019411182031035423
Epoch 1, Step 216, Loss: 0.4577886462211609
Epoch 1, Step 217, Loss: 0.030454911291599274
Epoch 1, Step 218, Loss: 0.5324198007583618
Epoch 1, Step 219, Loss: 0.7938817739486694
Epoch 1, Step 220, Loss: 0.4821252226829529
Epoch 1, Step 221, Loss: 0.5677098035812378
Epoch 1, Step 222, Loss: 0.04373842850327492
Epoch 1, Step 223, Loss: 0.11818774044513702
Epoch 1, Step 224, Loss: 0.06513965129852295
Epoch 1, Step 225, Loss: 0.0027831261977553368
Epoch 1, Step 226, Loss: 0.3194325566291809
Epoch 1, Step 227, Loss: 0.15235528349876404
Epoch 1, Step 228, Loss: 0.016760535538196564
Epoch 1, Step 229, Loss: 0.019730139523744583
Epoch 1, Step 230, Loss: 0.004972710739821196
Epoch 1, Step 231, Loss: 0.004375739023089409
Epoch 1, Step 232, Loss: 0.013728448189795017
Epoch 1, Step 233, Loss: 0.3582233488559723
Epoch 1, Step 234, Loss: 0.3434559106826782
Epoch 1, Step 235, Loss: 0.0022994091268628836
Epoch 1, Step 236, Loss: 0.011476892977952957
Epoch 1, Step 237, Loss: 0.00280654220841825
Epoch 1, Step 238, Loss: 0.0664585679769516
Epoch 1, Step 239, Loss: 0.04289114102721214
Epoch 1, Step 240, Loss: 0.27715885639190674
Epoch 1, Step 241, Loss: 0.0022324922028928995
Epoch 1, Step 242, Loss: 0.006666969507932663
Epoch 1, Step 243, Loss: 0.00820055603981018
Epoch 1, Step 244, Loss: 0.2374628633260727
Epoch 1, Step 245, Loss: 0.005520377773791552
Epoch 1, Step 246, Loss: 0.03050660341978073
Epoch 1, Step 247, Loss: 0.07591326534748077
Epoch 1, Step 248, Loss: 0.002989368513226509
Epoch 1, Step 249, Loss: 0.27270829677581787
Epoch 1, Step 250, Loss: 0.048996247351169586
Epoch 1, Step 251, Loss: 0.15533792972564697
Epoch 1, Step 252, Loss: 0.15624645352363586
Epoch 1, Step 253, Loss: 0.24541202187538147
Epoch 1, Step 254, Loss: 0.05449438840150833
Epoch 1, Step 255, Loss: 0.009618250653147697
Epoch 1, Step 256, Loss: 0.047058481723070145
Epoch 1, Step 257, Loss: 0.24831363558769226
Epoch 1, Step 258, Loss: 0.014096244238317013
Epoch 1, Step 259, Loss: 0.07571472227573395
Epoch 1, Step 260, Loss: 0.01705695502460003
Epoch 1, Step 261, Loss: 0.11523829400539398
Epoch 1, Step 262, Loss: 0.0028720989357680082
Epoch 1, Step 263, Loss: 0.018774302676320076
Epoch 1, Step 264, Loss: 0.016000285744667053
Epoch 1, Step 265, Loss: 0.008943825960159302
Epoch 1, Step 266, Loss: 0.5238632559776306
Epoch 1, Step 267, Loss: 0.05845459923148155
Epoch 1, Step 268, Loss: 0.39182472229003906
Epoch 1, Step 269, Loss: 0.00840074848383665
Epoch 1, Step 270, Loss: 0.3518143892288208
Epoch 1, Step 271, Loss: 0.41420605778694153
Epoch 1, Step 272, Loss: 0.10832009464502335
Epoch 1, Step 273, Loss: 0.0018512719543650746
Epoch 1, Step 274, Loss: 0.07439830154180527
Epoch 1, Step 275, Loss: 0.3957459628582001
Epoch 1, Step 276, Loss: 0.1895037591457367
Epoch 1, Step 277, Loss: 0.008682098239660263
Epoch 1, Step 278, Loss: 0.07442125678062439
Epoch 1, Step 279, Loss: 0.31421226263046265
Epoch 1, Step 280, Loss: 0.03962360695004463
Epoch 1, Step 281, Loss: 0.01239139586687088
Epoch 1, Step 282, Loss: 0.25779563188552856
Epoch 1, Step 283, Loss: 0.705870509147644
Epoch 1, Step 284, Loss: 0.02125583402812481
Epoch 1, Step 285, Loss: 0.009997643530368805
Epoch 1, Step 286, Loss: 0.44387099146842957
Epoch 1, Step 287, Loss: 0.02251945622265339
Epoch 1, Step 288, Loss: 0.004926326218992472
Epoch 1, Step 289, Loss: 0.24427038431167603
Epoch 1, Step 290, Loss: 0.011377103626728058
Epoch 1, Step 291, Loss: 0.02265239506959915
Epoch 1, Step 292, Loss: 0.05266343057155609
Epoch 1, Step 293, Loss: 0.06489180028438568
Epoch 1, Step 294, Loss: 0.37045055627822876
Epoch 1, Step 295, Loss: 0.010031316429376602
Epoch 1, Step 296, Loss: 0.14968529343605042
Epoch 1, Step 297, Loss: 0.002977742115035653
Epoch 1, Step 298, Loss: 0.011564306914806366
Epoch 1, Step 299, Loss: 0.14018763601779938
Epoch 1, Step 300, Loss: 0.09952741861343384
Epoch 1, Step 301, Loss: 0.06747893244028091
Epoch 1, Step 302, Loss: 0.045240409672260284
Epoch 1, Step 303, Loss: 0.020052609965205193
Epoch 1, Step 304, Loss: 0.2903866767883301
Epoch 1, Step 305, Loss: 0.08247730135917664
Epoch 1, Step 306, Loss: 0.21374568343162537
Epoch 1, Step 307, Loss: 0.5291872620582581
Epoch 1, Step 308, Loss: 0.6673570871353149
Epoch 1, Step 309, Loss: 0.004777806811034679
Epoch 1, Step 310, Loss: 0.003720467444509268
Epoch 1, Step 311, Loss: 0.17502781748771667
Epoch 1, Step 312, Loss: 0.005887587089091539
